1696	Arthur Uvedale
1697	Arthur Wake
1698	Arthur Warwicke
1699	Arthur [Lovekyn]
1708	Ascanio Giuffarino
1709	Ascanio Savorgiano
1710	Asheton
1713	Assembly in Paris
1715	Assessors of the Subsidy At Greenwich
1716	Asti
1726	Attorney General Gilbert Gerrard
1729	Attorney General of Munster
1735	Attorney-General Charles Calthorpe
1743	Audiencier Verreyken
1744	Auditor
1747	Auditor Fulwer
1758	Auditor Neyle
1763	Auditor and Receiver of Berkeley Lands
1764	Auditor and Surveyor of Ireland
1765	Auditor and receiver
1766	Auditor and receiver in co. Stafford
1769	Auditor of cos. Northampton and Rutland
1771	Auditor of the Chamber
1772	Auditors
1773	Auditors of H.M. Revenue
1774	Auditors of the Apostolic Chamber
1776	Auditors of the Imprest
1777	Audley Danett
1778	August Shers
1779	Augusten Sprake
1780	Augustin de Villanueva
1782	Augustine Clark
1783	Augustine Schurffius
1784	Augustine Skerne
1785	Augustine and Baptista de Spinulis
1786	Augustine de Augustinis
1788	Augustino Sutarini
1789	Augustinus Camynadus
1791	Augustus, Duke of Saxony
1793	Augustyne Novye
1796	Aurelian Townsend
1799	Austen Styward
1801	Austin Jeward
1802	Austin Metcalf
1803	Austin Wolsey
1805	Authorities at Calais
1807	Avery Michell
1808	Avery Phillips
1809	Avery Sedgwick
1810	Avis, Lady Cooke
1811	Awlie Magawlie, of Ballyloughlowe, in the county of Westmeath
1812	Ayan Pasha
1819	B. Bourdet
1824	B. Drake
1832	B. Ruys
1835	B. W[illiamson]
1836	B. Wilcox
1841	B.M.
1855	Badirel
1857	Badsworth, Yorks
1860	Bailies
1861	Bailiff
1863	Bailiff and Brethren of the Town of Leominster
1864	Bailiff and Burgesses of East Grinstead
1866	Bailiff and Captain of Treviso
1867	Bailiff and Jurats of Guernsey
1868	Bailiff and Jurats of Hastings
1869	Bailiff and Jurats of Tenterden
